OCID,TENDER_ID,NOMENCLATURA,DESCRIPCION,TIPO,CATEGORIA,ENTIDAD,VALOR,MONEDA,FECHA_PUB,NUM_POSTORES,GANADOR,MONTO_ADJ,CONTRATO
ocds-dgv273-seacev3-2024-2407-40,1083598,CP-SM-20-2024-ELSE-1,SERVICIO DE MANTENIMIENTO 2025 - 2026 ANDAHUAYLAS,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,5735507.06,PEN,2024-12-27T09:42:00-05:00,22,CONSTRUCTION & MAINT.ENGINEERING S.A.C.,5385735.0,046-2025
ocds-dgv273-seacev3-2024-2407-42,1080835,CP-SM-22-2024-ELSE-1,SERVICIO DE ATENCION DE AVERIAS 2025-2026 ANDAHUAYLAS,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,4565410.68,PEN,2024-12-18T12:54:00-05:00,21,CONSTRUCTION & MAINT.ENGINEERING S.A.C.,3389904.0,045-2025
ocds-dgv273-seacev3-2024-2407-31,1082852,CP-SM-11-2024-ELSE-1,SERVICIO DE MANTENIMIENTO 2025 2026 ABANCAY,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,7922881.34,PEN,2024-12-26T12:48:00-05:00,22,CONSORCIO TELPERU,7308172.0,044-2025
ocds-dgv273-seacev3-2024-2407-52,1079780,CP-SM-32-2024-ELSE-1,SERVICIO DE EJECUCIÓN DE SANEAMIENTO DE ACOMETIDA APURÍMAC 2024,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,1316635.64,PEN,2024-12-16T15:55:00-05:00,18,MARONS ELECTRIC E.I.R.L.,1444607.4,040-2025
ocds-dgv273-seacev3-2024-2407-109,1075730,CP-SM-68-2024-ELSE-1,SERVICIO DE INSPECCION TERMOGRÁFICA,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,942110.0,PEN,2024-12-03T10:03:00-05:00,26,LJE CONTRATISTAS GENERALES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,799922.0,036-2025
ocds-dgv273-seacev3-2024-2407-122,1083214,CP-SM-74-2024-ELSE-1,SERVICIO DE RENOVACION DE LOS SPAT,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,950662.4,PEN,2024-12-26T22:37:00-05:00,35,PROCIEL S.R.LTDA,445898.6,
ocds-dgv273-seacev3-1089084,1089084,CP-SM-52-2024-ELSE-1,SERVICIO DE PINTADO DE TUBERÍAS DE PRESIÓN DE LAS CENTRALES HIDROELÉCTRICAS,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,1443946.75,PEN,2024-12-05T12:50:00-05:00,49,,,
ocds-dgv273-seacev3-2024-2407-174,1080981,CP-SM-70-2024-ELSE-1,SERVICIO DE RED PRIVADA DE DATOS,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,5461620.72,PEN,2024-12-18T16:31:00-05:00,12,INTERNET PERU CABLE SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA-INPECABLE S.R.L.,5377777.0,035-2025
ocds-dgv273-seacev3-2024-2407-53,1081598,CP-SM-33-2024-ELSE-1,SUPERVISION DE PROCESOS DE MANTENIMIENTO Y OPERACIONES APURIMAC 2025- 2026,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,1145431.92,PEN,2024-12-19T17:38:00-05:00,29,CONSORCIO ENERGY,988250.57,
ocds-dgv273-seacev3-2024-2407-24,1083981,CP-SM-4-2024-ELSE-1,SERVICIOS COMERCIALES LA CONVENCIÓN 2024 -2025,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,7662333.65,PEN,2024-12-27T15:28:00-05:00,24,CONSORCIO SAR,7440414.0,
ocds-dgv273-seacev3-1081010,1081010,AS-SM-79-2024-ELSE-1,SERVICIO DE MESA DE AYUDA DEL SIELSE,Adjudicación Simplificada,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,866392.9,PEN,2024-12-18T17:53:00-05:00,16,JORDAN ROJAS ARTURO,718000.0,032-2025
ocds-dgv273-seacev3-1086464,1086464,LP-SM-30-2024-ELSE-1,"REMODELACIÓN DE RED PRIMARIA Y RED SECUNDARIA; EN EL(LA) LOS ALIMENTADORES CO-02, CO-05, SI-01, SI-03 DE LOS DISTRITOS DE SAN PABLO Y SICUANI DE LA PROVINCIA DE CANCHIS Y EL DISTRITO DE CUSIPATA, PROVINCIA QUISPICANCHI, DEPARTAMENTO CUSCO",Licitación Pública,works,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,9860501.48,PEN,2024-12-17T10:27:00-05:00,49,COCO INGENIEROS CONSULTORES Y CONTRATISTAS GENERALES SOCIEDAD ANONIMA CERRADA,8874451.35,
ocds-dgv273-seacev3-1086143,1086143,LP-SM-7-2024-ELSE-1,"CONSTRUCCIÓN DE LÍNEA PRIMARIA; RENOVACIÓN DE RED PRIMARIA; EN EL(LA) LOS ALIMENTADORES CP03 Y AN04 CON INTERCONEXIÓN DESDE QUEROBAMBA HASTA PALLCCA EN LA PROVINCIA DE SUCRE DEPARTAMENTO DE AYACUCHO Y LA PROVINCIA DE ANDAHUAYLAS, DISTRITO DE SORAYA, PROVINCIA AYMARAES, DEPARTAMENTO APURÍMAC",Licitación Pública,works,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,11986965.95,PEN,2024-12-12T11:33:00-05:00,0,,,
ocds-dgv273-seacev3-2024-2407-179,1083761,CP-SM-75-2024-ELSE-1,SUPERVISIÓN DE OBRA: AMPLIACIÓN DEL SERVICIO DE SUMINISTRO ELÉCTRICO DOMICILIARIO EN ZONAS RURALES EN 5 UNIDADES PRODUCTORAS 5 DISTRITOS DE 4 PROVINCIAS DEL DEPARTAMENTO DE CUSCO,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,583139.92,PEN,2024-12-27T12:05:00-05:00,0,,,
ocds-dgv273-seacev3-2024-2407-180,1083807,CP-SM-76-2024-ELSE-1,"SUPERVISION DE OBRA ¿REMODELACIÓN DE RED PRIMARIA Y RED SECUNDARIA; EN EL(LA) LOS ALIMENTADORES UR01, PI01 EN LOS DISTRITOS DE HUAYLLABAMBA Y MARAS DE LA PROVINCIA DE URUBAMBA Y EL DISTRITO DE TARAY, PROVINCIA CALCA, DEPARTAMENTO CUSCO",Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,514669.72,PEN,2024-12-27T12:33:00-05:00,0,,,
ocds-dgv273-seacev3-2024-2407-176,1083844,CP-SM-73-2024-ELSE-1,"SUPERVISIÓN DE LA OBRA: ¿CONSTRUCCIÓN DE LÍNEA PRIMARIA; RENOVACIÓN DE RED PRIMARIA; EN EL(LA) LOS ALIMENTADORES CP03 Y AN04 CON INTERCONEXIÓN DESDE QUEROBAMBA HASTA PALLCCA EN LA PROVINCIA DE SUCRE DEPARTAMENTO DE AYACUCHO Y LA PROVINCIA DE ANDAHUAYLAS, DISTRITO DE SORAYA, PROVINCIA AYMARAES, DEPARTAMENTO APURÍMAC",Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,499592.66,PEN,2024-12-27T14:30:00-05:00,0,,,
ocds-dgv273-seacev3-2024-2407-175,1083046,CP-SM-72-2024-ELSE-1,"CONSULTORÍA SUPERVISIÓN DE OBRA: ¿REMODELACIÓN DE RED PRIMARIA Y RED SECUNDARIA; EN EL(LA) LOS ALIMENTADORES CO-02, CO-05, SI-01, SI-03 DE LOS DISTRITOS DE SAN PABLO Y SICUANI DE LA PROVINCIA DE CANCHIS Y EL DISTRITO DE CUSIPATA, PROVINCIA QUISPICANCHI, DEPARTAMENTO CUSCO",Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,515925.78,PEN,2024-12-26T16:14:00-05:00,0,,,
ocds-dgv273-seacev3-2024-2407-72,1077187,CP-SM-52-2024-ELSE-1,SERVICIO DE PINTADO DE TUBERÍAS DE PRESIÓN DE LAS CENTRALES HIDROELÉCTRICAS,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,1443946.75,PEN,2024-12-05T12:50:00-05:00,0,,,
ocds-dgv273-seacev3-2024-2407-70,1078915,CP-SM-50-2024-ELSE-1,SERVICIO DE ATENCION DE SISTEMAS FOTOVOLTAICOS DOMICILIARIOS REGION CUSCO  2025 - 2026,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,2635512.0,PEN,2024-12-12T17:24:00-05:00,29,,,
ocds-dgv273-seacev3-2024-2407-58,1080919,CP-SM-38-2024-ELSE-1,SUPERVISION DE PROCESOS COMERCIALES APURIMAC 2025-2026,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,997554.0,PEN,2024-12-18T14:59:00-05:00,28,,,
ocds-dgv273-seacev3-2024-2407-36,1083106,CP-SM-16-2024-ELSE-1,SERVICIO TECNICO COMERCIAL ANDAHUAYLAS 2025 - 2026,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,5588434.25,PEN,2024-12-26T16:51:00-05:00,0,,,
ocds-dgv273-seacev3-2024-2407-121,1079303,CP-SM-69-2024-ELSE-1,SERVICIO DE LEVANTAMIENTO DE DEFICIENCIAS MT PROCEDIMIENTO 228 - CUSCO SECTORES,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,7715187.07,PEN,2024-12-13T15:18:00-05:00,0,,,
ocds-dgv273-seacev3-2024-2407-37,1083179,CP-SM-17-2024-ELSE-1,SERVICIO TECNICO COMERCIAL ABANCAY 2025 - 2026,Concurso Público,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,4429466.43,PEN,2024-12-26T17:40:00-05:00,0,,,
ocds-dgv273-seacev3-2024-2407-173,1080048,LP-SM-30-2024-ELSE-1,"REMODELACIÓN DE RED PRIMARIA Y RED SECUNDARIA; EN EL(LA) LOS ALIMENTADORES CO-02, CO-05, SI-01, SI-03 DE LOS DISTRITOS DE SAN PABLO Y SICUANI DE LA PROVINCIA DE CANCHIS Y EL DISTRITO DE CUSIPATA, PROVINCIA QUISPICANCHI, DEPARTAMENTO CUSCO",Licitación Pública,works,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,9860793.59,PEN,2024-12-17T10:27:00-05:00,0,,,
ocds-dgv273-seacev3-2024-2407-7,1078708,LP-SM-7-2024-ELSE-1,"CONSTRUCCIÓN DE LÍNEA PRIMARIA; RENOVACIÓN DE RED PRIMARIA; EN EL(LA) LOS ALIMENTADORES CP03 Y AN04 CON INTERCONEXIÓN DESDE QUEROBAMBA HASTA PALLCCA EN LA PROVINCIA DE SUCRE DEPARTAMENTO DE AYACUCHO Y LA PROVINCIA DE ANDAHUAYLAS, DISTRITO DE SORAYA, PROVINCIA AYMARAES, DEPARTAMENTO APURÍMAC",Licitación Pública,works,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,11986965.95,PEN,2024-12-12T11:33:00-05:00,0,,,
ocds-dgv273-seacev3-1079321,1079321,AS-SM-69-2024-ELSE-2,ADQUISICIÓN  DE COMBUSTIBLE PARA GENERACION MEDIANTE GRUPOS ELECTROGENOS,Adjudicación Simplificada,goods,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,162065.7,PEN,2024-12-13T16:44:00-05:00,8,,,
ocds-dgv273-seacev3-1077226,1077226,SIE-SIE-4-2024-ELSE-2,ADQUISICIÓN  DE COMBUSTIBLE PARA PARQUE AUTOMOTOR PARA MADRE DE DIOS,Subasta Inversa Electrónica,goods,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,315950.0,PEN,2024-12-05T14:53:00-05:00,0,,,
ocds-dgv273-seacev3-2024-2407-105,1076336,AS-SM-30-2024-ELSE-1,SERVICIO DE MANTENIMIENTO DE GRUPOS MÓVILES DE EMERGENCIA,Adjudicación Simplificada,services,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,468316.67,PEN,2024-12-03T16:48:00-05:00,10,,,
